ds,P,PrA,T,UR,VV
2007-01-01,74.0,887.4,18.45,93.04166666666669,1.5041666666666669
2007-01-02,6.8,887.7708333333334,20.65,85.75,1.6125
2007-01-03,4.8,887.4333333333334,20.866666666666667,86.04166666666667,1.7916666666666667
2007-01-04,0.0,886.3625000000001,20.925,79.54166666666667,2.3958333333333335
2007-01-05,1.8,885.0166666666668,21.95,73.91666666666667,1.8958333333333333
2007-01-06,10.4,885.1,21.020833333333332,82.79166666666667,2.004166666666667
2007-01-07,13.4,887.1166666666667,19.954166666666666,85.33333333333333,2.2125
2007-01-08,0.0,886.6416666666668,21.2625,78.58333333333333,1.3625
2007-01-09,0.0,886.2041666666668,23.416666666666668,71.29166666666667,1.4583333333333333
2007-01-10,1.4,885.8125,22.25,78.75,1.7708333333333333
2007-01-11,1.2,885.6666666666666,21.35,80.375,2.125
2007-01-12,6.4,884.0916666666667,21.8625,78.29166666666667,2.0541666666666667
2007-01-13,18.8,882.8166666666666,20.404166666666665,89.625,2.920833333333333
2007-01-14,14.6,883.7666666666668,20.6625,88.75,3.016666666666667
2007-01-15,7.8,885.1583333333333,21.141666666666666,85.33333333333333,3.0083333333333333
2007-01-16,8.6,886.125,22.133333333333336,79.41666666666667,1.1708333333333334
2007-01-17,3.4000000000000004,886.1125000000001,22.995833333333337,74.08333333333333,2.0541666666666667
2007-01-18,0.0,886.0875,24.4,64.125,1.5708333333333335
2007-01-19,14.2,886.4916666666667,23.1625,75.79166666666667,1.6958333333333335
2007-01-20,0.0,886.625,24.195833333333336,67.29166666666667,1.6666666666666667
2007-01-21,0.0,887.1416666666668,24.691666666666663,62.458333333333336,1.3875
2007-01-22,0.0,886.5333333333333,23.320833333333336,69.5,1.9791666666666667
2007-01-23,1.6,885.5625,21.095833333333335,82.08333333333333,2.2166666666666663
2007-01-24,16.4,886.0208333333334,21.379166666666663,83.04166666666667,1.5958333333333332
2007-01-25,4.8,886.1583333333333,21.329166666666666,82.5,2.4375
2007-01-26,4.4,886.3541666666666,21.441666666666663,83.33333333333333,0.9583333333333334
2007-01-27,10.0,886.8375,20.725,87.33333333333333,1.2708333333333333
2007-01-28,0.2,886.4291666666667,21.6625,82.41666666666667,1.8375
2007-01-29,7.0,886.7083333333334,21.620833333333337,82.33333333333333,3.1666666666666665
2007-01-30,6.3999999999999995,887.1125000000001,20.529166666666665,88.20833333333333,2.3125
2007-01-31,0.0,885.7875,21.625,78.875,2.2958333333333334
2007-02-01,5.8,886.0833333333334,21.05,83.16666666666667,2.4375
2007-02-02,0.0,886.5791666666668,21.458333333333332,81.16666666666667,2.783333333333333
2007-02-03,20.0,885.5583333333334,20.2875,90.04166666666667,2.629166666666667
2007-02-04,31.4,884.7624999999999,20.266666666666666,90.625,2.7583333333333333
2007-02-05,5.4,885.3916666666668,20.095833333333335,90.29166666666669,3.5041666666666664
2007-02-06,9.8,885.4499999999999,20.054166666666667,90.08333333333331,2.595833333333333
2007-02-07,27.2,885.8666666666667,19.925,91.66666666666669,2.6166666666666667
2007-02-08,3.2,886.5416666666666,21.6375,82.33333333333333,2.3291666666666666
2007-02-09,1.2000000000000002,888.3826086956522,22.791304347826088,69.21739130434783,2.617391304347826
2007-02-10,0.0,888.9208333333332,23.145833333333332,61.208333333333336,1.8416666666666668
2007-02-11,9.2,887.0708333333333,23.1,68.79166666666667,1.3333333333333333
2007-02-12,0.0,885.2291666666666,21.945833333333336,76.83333333333333,3.2916666666666665
2007-02-13,14.6,884.2916666666666,19.908333333333335,85.91666666666667,3.225
2007-02-14,26.8,882.5958333333333,20.1,90.29166666666669,3.3375
2007-02-15,0.0,882.8249999999999,21.495833333333337,80.45833333333333,2.8208333333333333
2007-02-16,0.0,883.5,21.870833333333337,80.0,1.7041666666666666
2007-02-17,27.200000000000003,883.9375,21.3875,84.0,1.7791666666666668
2007-02-18,10.4,884.0083333333333,20.925,85.29166666666667,1.3083333333333331
2007-02-19,9.8,883.3291666666668,20.270833333333332,85.58333333333333,2.1041666666666665
2007-02-20,10.8,883.9666666666667,19.8,87.83333333333333,3.279166666666667
2007-02-21,4.6,885.5083333333333,19.854166666666668,85.0,3.7083333333333335
2007-02-22,0.0,888.2708333333334,21.575,77.41666666666667,3.454166666666667
2007-02-23,0.0,889.5478260869564,22.082608695652173,72.91304347826087,3.6739130434782608
2007-02-24,0.0,888.7458333333334,22.1,69.54166666666667,2.5375
2007-02-25,32.4,887.6791666666667,21.870833333333337,73.70833333333333,1.8291666666666664
2007-02-26,1.2,886.6333333333333,21.254166666666663,82.83333333333333,1.7041666666666666
2007-02-27,4.4,887.0625,21.125,80.08333333333333,2.595833333333333
2007-02-28,5.0,887.2083333333334,20.833333333333332,82.58333333333333,2.7416666666666667
2007-03-01,0.0,886.4625,22.445833333333336,71.45833333333333,3.579166666666667
2007-03-02,0.0,887.1416666666668,22.383333333333336,65.875,3.8833333333333337
2007-03-03,0.0,887.4,21.641666666666666,69.75,3.9958333333333336
2007-03-04,0.0,887.5958333333333,21.525,69.70833333333333,4.145833333333333
2007-03-05,0.0,887.7652173913043,21.62608695652174,64.47826086956522,3.465217391304348
2007-03-06,0.6000000000000001,888.5416666666666,21.895833333333332,67.70833333333333,3.2624999999999997
2007-03-07,0.0,889.5875,22.28333333333333,71.83333333333333,3.8958333333333335
2007-03-08,0.0,888.0041666666666,22.483333333333334,64.79166666666667,3.3625000000000003
2007-03-09,0.0,886.7958333333332,22.3625,59.458333333333336,2.225
2007-03-10,0.0,886.3166666666666,22.583333333333332,64.25,2.1875
2007-03-11,0.0,886.3458333333333,23.195833333333336,55.291666666666664,2.8166666666666664
2007-03-12,0.0,886.8458333333333,22.5125,61.583333333333336,2.5166666666666666
2007-03-13,0.0,887.35,22.866666666666664,67.0,2.733333333333333
2007-03-14,0.0,886.795652173913,22.678260869565214,68.56521739130434,2.61304347826087
2007-03-15,0.0,886.2666666666668,22.683333333333337,69.625,2.625
2007-03-16,18.2,887.0791666666668,20.395833333333332,82.54166666666667,2.0416666666666665
2007-03-17,3.6,886.5375,21.429166666666664,82.04166666666667,1.6375
2007-03-18,10.6,886.4541666666668,21.816666666666663,78.375,1.6583333333333332
2007-03-19,0.0,887.2416666666667,22.15833333333333,74.58333333333333,2.55
2007-03-20,0.2,887.0217391304348,22.43913043478261,72.08695652173913,2.126086956521739
2007-03-21,3.0,886.0416666666666,20.76666666666667,83.875,1.3791666666666669
2007-03-22,0.0,886.1708333333332,22.5875,72.66666666666667,2.275
2007-03-23,0.0,887.0958333333333,23.46666666666667,66.20833333333333,2.875
2007-03-24,0.0,887.85,23.516666666666666,65.54166666666667,3.391666666666667
2007-03-25,0.0,887.4083333333333,23.383333333333336,61.666666666666664,3.5
2007-03-26,0.0,886.6791666666667,23.3375,61.583333333333336,3.4125
2007-03-27,0.0,887.0208333333334,23.475,61.25,3.345833333333333
2007-03-28,0.0,887.5749999999999,23.975,56.125,3.5208333333333335
2007-03-29,0.0,886.6416666666668,23.4375,57.0,3.1833333333333336
2007-03-30,0.0,886.0791666666668,23.083333333333332,50.666666666666664,3.25
2007-03-31,0.0,885.9333333333334,22.620833333333337,58.541666666666664,1.9541666666666664
2007-04-01,0.0,886.3249999999999,23.641666666666666,56.458333333333336,1.8958333333333333
2007-04-02,0.0,886.4304347826088,23.882608695652173,57.21739130434783,2.3086956521739133
2007-04-03,0.0,886.3583333333332,22.575,67.45833333333333,1.9375
2007-04-04,0.0,885.9875000000001,22.491666666666664,67.25,1.6625
2007-04-05,0.0,886.625,22.2625,61.833333333333336,1.2875
2007-04-06,0.0,886.975,22.379166666666663,63.333333333333336,0.9625
