Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,14.327975034713745,14.327975034713745,0.14255391010612925,0.045926830670542707,0.007730722229928835,0.14255391010612925,0.045926830670542707,0.007730722229928835
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,18.71798276901245,18.71798276901245,0.14907643808994567,0.047123482924011535,0.00765877952874573,0.14907643808994567,0.047123482924011535,0.00765877952874573
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,14.29322099685669,14.29322099685669,0.17021740750122116,0.05134749252746827,0.008225687323918304,0.17021740750122116,0.05134749252746827,0.008225687323918304
Fixed Cut 15.0%,327,97,57,14.84375,N/A,10.400401830673218,10.400401830673218,0.1417606041659845,0.045046589952408615,0.007690792718143196,0.1417606041659845,0.045046589952408615,0.007690792718143196
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,10.00715684890747,10.00715684890747,0.1381264362329752,0.04511921814908648,0.007581475978702942,0.1381264362329752,0.04511921814908648,0.007581475978702942
Fixed Cut 25.0%,288,97,96,25.0,N/A,10.476947784423828,10.476947784423828,0.14450657490424165,0.04625838275698534,0.007886976746917799,0.14450657490424165,0.04625838275698534,0.007886976746917799
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,8.767783880233765,8.767783880233765,0.169001299122614,0.0552145720352794,0.010758618383350871,0.169001299122614,0.0552145720352794,0.010758618383350871
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,11.27210807800293,11.27210807800293,0.1789539376472795,0.055328160732140474,0.00959781432454037,0.1789539376472795,0.055328160732140474,0.00959781432454037
Fixed Cut 40.0%,231,97,153,39.84375,N/A,8.49971604347229,8.49971604347229,0.18695321249310642,0.05972854929681956,0.011582697120082332,0.18695321249310642,0.05972854929681956,0.011582697120082332
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,10.578468799591064,10.578468799591064,0.1520494954815335,0.047800533952666265,0.00824268975260791,0.1520494954815335,0.047800533952666265,0.00824268975260791
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,8.44510293006897,8.44510293006897,0.16581073274432936,0.052856377704730485,0.009738493614409927,0.16581073274432936,0.052856377704730485,0.009738493614409927
Fixed Cut 55.0%,173,97,211,54.947916666666664,N/A,9.413275241851807,9.413275241851807,0.192855913298527,0.058378706535482716,0.009611052114578803,0.192855913298527,0.058378706535482716,0.009611052114578803
