Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,14.12698483467102,14.12698483467102,0.1415511423083011,0.04590580331084515,0.007675921416880713,0.1415511423083011,0.04590580331084515,0.007675921416880713
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,9.86857295036316,9.86857295036316,0.1536392275735814,0.049282878454214606,0.00845933538148348,0.1536392275735814,0.049282878454214606,0.00845933538148348
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,11.945295095443726,11.945295095443726,0.14702053311483232,0.047271985823941896,0.007858949408583773,0.14702053311483232,0.047271985823941896,0.007858949408583773
Fixed Cut 15.0%,327,97,57,14.84375,N/A,10.14745283126831,10.14745283126831,0.1238649943455183,0.04184600164298139,0.007325420991767429,0.1238649943455183,0.04184600164298139,0.007325420991767429
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,11.50212812423706,11.50212812423706,0.1217060752552651,0.04133810983114513,0.007421292643335262,0.1217060752552651,0.04133810983114513,0.007421292643335262
Fixed Cut 25.0%,288,97,96,25.0,N/A,8.739912986755371,8.739912986755371,0.16623880281714568,0.05180170802963586,0.008728186840099744,0.16623880281714568,0.05180170802963586,0.008728186840099744
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,15.21232008934021,15.21232008934021,0.1537450302118088,0.04817424996031655,0.008265963656279266,0.1537450302118088,0.04817424996031655,0.008265963656279266
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,8.98381781578064,8.98381781578064,0.1735441054232969,0.05492276656536755,0.010133282112819116,0.1735441054232969,0.05492276656536755,0.010133282112819116
Fixed Cut 40.0%,231,97,153,39.84375,N/A,10.579890251159668,10.579890251159668,0.154990253607181,0.04972455281577598,0.008690148923607807,0.154990253607181,0.04972455281577598,0.008690148923607807
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,7.231619119644165,7.231619119644165,0.16806456185828675,0.05469238849117345,0.010630403948649735,0.16806456185828675,0.05469238849117345,0.010630403948649735
