Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,17.43050217628479,17.43050217628479,0.14226944342941183,0.0461818626354203,0.007582740654326893,0.14226944342941183,0.0461818626354203,0.007582740654326893
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,15.487536907196045,15.487536907196045,0.1373004952203489,0.044741270527860436,0.0075527418815249945,0.1373004952203489,0.044741270527860436,0.0075527418815249945
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,15.501869916915894,15.501869916915894,0.14844555363049333,0.04694004300697696,0.007766053503354576,0.14844555363049333,0.04694004300697696,0.007766053503354576
Fixed Cut 15.0%,327,97,57,14.84375,N/A,7.4949562549591064,7.4949562549591064,0.16169825339205038,0.052026749681153846,0.009310018382774843,0.16169825339205038,0.052026749681153846,0.009310018382774843
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,14.464913129806519,14.464913129806519,0.13390191484942218,0.04373241837053257,0.007487659329289546,0.13390191484942218,0.04373241837053257,0.007487659329289546
Fixed Cut 25.0%,288,97,96,25.0,N/A,10.808786869049072,10.808786869049072,0.16949480164044656,0.05285400458410674,0.00893488169074759,0.16949480164044656,0.05285400458410674,0.00893488169074759
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,14.93831491470337,14.93831491470337,0.15508022577344382,0.04897724145962522,0.008522042480311007,0.15508022577344382,0.04897724145962522,0.008522042480311007
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,14.64395022392273,14.64395022392273,0.15286432030582708,0.048269281993114865,0.008232434110629825,0.15286432030582708,0.048269281993114865,0.008232434110629825
Fixed Cut 40.0%,231,97,153,39.84375,N/A,10.261132955551147,10.261132955551147,0.16304203206952075,0.052187813033465466,0.00922314032051733,0.16304203206952075,0.052187813033465466,0.00922314032051733
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,7.921590089797974,7.921590089797974,0.1732809364992838,0.05466270866282365,0.009918029257661973,0.1732809364992838,0.05466270866282365,0.009918029257661973
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,8.953901052474976,8.953901052474976,0.17336198931515764,0.05364149912380185,0.009049734239164317,0.17336198931515764,0.05364149912380185,0.009049734239164317
Fixed Cut 55.0%,173,97,211,54.947916666666664,N/A,9.562646865844727,9.562646865844727,0.1551085031725414,0.049300201967650774,0.008391446353772978,0.1551085031725414,0.049300201967650774,0.008391446353772978
Fixed Cut 60.0%,154,97,230,59.895833333333336,N/A,8.732937097549438,8.732937097549438,0.22073132180714244,0.06675319140902791,0.011820142384894412,0.22073132180714244,0.06675319140902791,0.011820142384894412
Fixed Cut 65.0%,135,97,249,64.84375,N/A,7.32056188583374,7.32056188583374,0.275863691358953,0.08174990839623157,0.014315891064509027,0.275863691358953,0.08174990839623157,0.014315891064509027
Fixed Cut 70.0%,116,97,268,69.79166666666666,N/A,11.864614963531494,11.864614963531494,0.21780571277937175,0.06479451552325605,0.010110361566172286,0.21780571277937175,0.06479451552325605,0.010110361566172286
Fixed Cut 75.0%,96,97,288,75.0,N/A,3.7268340587615967,3.7268340587615967,0.35878374512744576,0.1066745189981523,0.0228347215668274,0.35878374512744576,0.1066745189981523,0.0228347215668274
Fixed Cut 80.0%,77,97,307,79.94791666666666,N/A,4.9114089012146,4.9114089012146,0.26554451347552394,0.08462716244339683,0.01839201263038859,0.26554451347552394,0.08462716244339683,0.01839201263038859
Fixed Cut 85.0%,58,97,326,84.89583333333334,N/A,2.2275168895721436,2.2275168895721436,0.3283523973442466,0.10222014123318245,0.024050160263904552,0.3283523973442466,0.10222014123318245,0.024050160263904552
Fixed Cut 90.0%,39,97,345,89.84375,N/A,2.7834529876708984,2.7834529876708984,0.3303713015850824,0.10098223781923325,0.0220755842669766,0.3303713015850824,0.10098223781923325,0.0220755842669766
Window L1,104,97,280,72.91666666666666,0.010048866271972656,3.1422719955444336,3.1523208618164062,0.4791118543955628,0.13638433349807796,0.02957295754951471,0.4791118543955628,0.13638433349807796,0.02957295754951471
Window L2,104,97,280,72.91666666666666,0.005600929260253906,2.754879951477051,2.7604808807373047,0.6197005842320257,0.1716788835203466,0.03950656396223683,0.6197005842320257,0.1716788835203466,0.03950656396223683
Window Normal,134,97,250,65.10416666666666,0.009852170944213867,6.3235719203948975,6.333424091339111,0.27358322951284114,0.08140470528135112,0.014518151125404671,0.27358322951284114,0.08140470528135112,0.014518151125404671
Window RBF,219,97,165,42.96875,0.006697893142700195,10.321205139160156,10.327903032302856,0.18089843443725714,0.05546191573792293,0.009358400232814824,0.18089843443725714,0.05546191573792293,0.009358400232814824
Window Cosine,0,97,384,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,97,384,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,324,97,60,15.625,0.005221128463745117,10.21558666229248,10.220807790756226,0.14073645374492919,0.04637633029022508,0.007976013512365997,0.14073645374492919,0.04637633029022508,0.007976013512365997
Window Rank,104,97,280,72.91666666666666,0.009926080703735352,2.6630289554595947,2.67295503616333,0.7618662607405154,0.20688504744329222,0.051340429681520916,0.7618662607405154,0.20688504744329222,0.051340429681520916
Window Mahalanobis,104,97,280,72.91666666666666,0.004370927810668945,9.721264839172363,9.725635766983032,0.2487075631079628,0.07514654245511639,0.012439780548957072,0.2487075631079628,0.07514654245511639,0.012439780548957072
Window AR,104,97,280,72.91666666666666,0.008887052536010742,2.791632890701294,2.8005199432373047,0.5421328357229148,0.1512969401355403,0.03230713853881463,0.5421328357229148,0.1512969401355403,0.03230713853881463
Window Mean,120,97,264,68.75,0.06060504913330078,2.6716148853302,2.732219934463501,0.4527268815453504,0.12962962850246554,0.027421127368665074,0.4527268815453504,0.12962962850246554,0.027421127368665074
Window Median,104,97,280,72.91666666666666,0.06060504913330078,11.085758209228516,11.146363258361816,0.20114243275704513,0.06196602376392983,0.010237376351862237,0.20114243275704513,0.06196602376392983,0.010237376351862237
