Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,14.367614984512329,14.367614984512329,0.1703587352035507,0.051842325901154084,0.008219986038351841,0.1703587352035507,0.051842325901154084,0.008219986038351841
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,11.979575157165527,11.979575157165527,0.15832326241476782,0.04918795520898303,0.00818903205849757,0.15832326241476782,0.04918795520898303,0.00818903205849757
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,13.774387121200562,13.774387121200562,0.14656090872374083,0.046427227737207546,0.007752639799635495,0.14656090872374083,0.046427227737207546,0.007752639799635495
Fixed Cut 15.0%,327,97,57,14.84375,N/A,8.147915124893188,8.147915124893188,0.14532801109405527,0.04755256626016434,0.008562214176022613,0.14532801109405527,0.04755256626016434,0.008562214176022613
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,6.4759581089019775,6.4759581089019775,0.17198041361354388,0.05556723983394295,0.010548009836955276,0.17198041361354388,0.05556723983394295,0.010548009836955276
Fixed Cut 25.0%,288,97,96,25.0,N/A,9.153579950332642,9.153579950332642,0.14264587788215935,0.04611090287403863,0.007978582236416398,0.14264587788215935,0.04611090287403863,0.007978582236416398
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,5.619296073913574,5.619296073913574,0.26414345045494464,0.07993141708940203,0.015636075300843284,0.26414345045494464,0.07993141708940203,0.015636075300843284
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,8.420776128768921,8.420776128768921,0.17074579610295615,0.05578039871451641,0.011024558736288026,0.17074579610295615,0.05578039871451641,0.011024558736288026
Fixed Cut 40.0%,231,97,153,39.84375,N/A,12.205475091934204,12.205475091934204,0.1484870240973564,0.04852482223367898,0.008725591969657616,0.1484870240973564,0.04852482223367898,0.008725591969657616
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,8.568042039871216,8.568042039871216,0.17197787483360463,0.05394620066439663,0.009556065804318083,0.17197787483360463,0.05394620066439663,0.009556065804318083
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,7.545048952102661,7.545048952102661,0.18881233948942622,0.06099862957182533,0.011894503433222285,0.18881233948942622,0.06099862957182533,0.011894503433222285
Fixed Cut 55.0%,173,97,211,54.947916666666664,N/A,11.105748891830444,11.105748891830444,0.17305135792838722,0.05393999881409352,0.009310805562142734,0.17305135792838722,0.05393999881409352,0.009310805562142734
Fixed Cut 60.0%,154,97,230,59.895833333333336,N/A,12.487869024276733,12.487869024276733,0.20336490750786274,0.06102114665742014,0.009744182925632002,0.20336490750786274,0.06102114665742014,0.009744182925632002
Fixed Cut 65.0%,135,97,249,64.84375,N/A,7.5135838985443115,7.5135838985443115,0.2919086611597679,0.08566051433678545,0.014833491661341139,0.2919086611597679,0.08566051433678545,0.014833491661341139
Fixed Cut 70.0%,116,97,268,69.79166666666666,N/A,9.87327527999878,9.87327527999878,0.2165529617700714,0.0663156374594225,0.011018804571189655,0.2165529617700714,0.0663156374594225,0.011018804571189655
Fixed Cut 75.0%,96,97,288,75.0,N/A,3.0939698219299316,3.0939698219299316,0.5941171388992305,0.16466856996607937,0.03615953516770054,0.5941171388992305,0.16466856996607937,0.03615953516770054
Fixed Cut 80.0%,77,97,307,79.94791666666666,N/A,5.664883136749268,5.664883136749268,0.26839789234087047,0.08695381832798062,0.019885560293492883,0.26839789234087047,0.08695381832798062,0.019885560293492883
Fixed Cut 85.0%,58,97,326,84.89583333333334,N/A,2.1729519367218018,2.1729519367218018,0.35121300010977885,0.10674811183367423,0.023770945814748236,0.35121300010977885,0.10674811183367423,0.023770945814748236
Fixed Cut 90.0%,39,97,345,89.84375,N/A,2.665127992630005,2.665127992630005,0.3435455737963974,0.10524458764944723,0.02386544218356615,0.3435455737963974,0.10524458764944723,0.02386544218356615
Window L1,104,97,280,72.91666666666666,0.010952949523925781,2.6764280796051025,2.6873810291290283,0.5717104945145738,0.15935189163113472,0.035230250054300694,0.5717104945145738,0.15935189163113472,0.035230250054300694
Window L2,104,97,280,72.91666666666666,0.00568699836730957,8.457212924957275,8.462899923324585,0.25193672781701143,0.07638628753312013,0.01314458911138306,0.25193672781701143,0.07638628753312013,0.01314458911138306
Window Normal,134,97,250,65.10416666666666,0.021795034408569336,7.984835863113403,8.006630897521973,0.2754850814893644,0.08149989238816409,0.014212547380621728,0.2754850814893644,0.08149989238816409,0.014212547380621728
Window RBF,219,97,165,42.96875,0.007354021072387695,10.675508975982666,10.682862997055054,0.19658609503944646,0.06016724727901759,0.010603634060541718,0.19658609503944646,0.06016724727901759,0.010603634060541718
Window Cosine,0,97,384,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,97,384,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,324,97,60,15.625,0.005015850067138672,13.281646966934204,13.286662817001343,0.14655240447421525,0.04647663502067261,0.007903504750725788,0.14655240447421525,0.04647663502067261,0.007903504750725788
