,ds,Exchange rate
0,0,0.014398412304639048
1,1,0.014082171127026009
2,2,0.013851342751686396
3,3,0.013680981595092026
4,4,0.013550937141399972
5,5,0.013449974079834112
6,6,0.01342279268767017
7,7,0.013721532091097308
8,8,0.01377360965372508
9,9,0.014120284885254552
10,10,0.013917609046849758
11,11,0.013794514940646744
12,12,0.013812508516146614
13,13,0.013669724770642202
14,14,0.013575953822328594
15,15,0.01352663905156406
16,16,0.013062283737024222
17,17,0.013135898145585386
18,18,0.01279199564388783
19,19,0.01248584449661649
20,20,0.01204225352112676
21,21,0.011742413840450364
22,22,0.011435438643343572
23,23,0.011608020698576972
24,24,0.01174931129476584
25,25,0.011627349564778604
26,26,0.011408680381334671
27,27,0.01070956897586745
28,28,0.009920562868815251
29,29,0.009547896150402864
30,30,0.009792922971896689
31,31,0.010152198421645997
32,32,0.009994515138218517
33,33,0.009757647565704438
34,34,0.009319135543432649
35,35,0.009557673771018528
36,36,0.009748372144354927
37,37,0.009871780324520595
38,38,0.009955666704558372
39,39,0.010302395906024657
40,40,0.010882981248516495
41,41,0.011203095684803002
42,42,0.011689443920829407
43,43,0.011610068867252434
44,44,0.01142857142857143
45,45,0.01139753717472119
46,46,0.011619865398004177
47,47,0.011991285916156382
48,48,0.012577856719952634
49,49,0.012870967741935482
50,50,0.012818171035464357
51,51,0.013010314224034541
52,52,0.013716248223590714
53,53,0.013522318840579708
54,54,0.01297284964636094
55,55,0.012545331681495662
56,56,0.01263596441842135
57,57,0.013112033195020746
58,58,0.013207674943566592
59,59,0.013699821587867972
60,60,0.014383624130459575
61,61,0.014584246338369277
62,62,0.014057090450533072
63,63,0.01368306884347528
64,64,0.013648971240195523
65,65,0.013864077669902913
66,66,0.01398472238057234
67,67,0.013982544786403308
68,68,0.013939532230462064
69,69,0.014261246860013703
70,70,0.014906483075157772
71,71,0.015963805214906538
72,72,0.015975401850949828
73,73,0.016118404756006937
74,74,0.016678458622867973
75,75,0.016030231693718252
76,76,0.015412821758135018
77,77,0.01534047919293821
78,78,0.01535331632653061
79,79,0.015684573178512184
80,80,0.016094550229809587
81,81,0.016393778141629144
82,82,0.016149630035626198
83,83,0.01573248407643312
84,84,0.016228211316706893
85,85,0.015590962517957425
86,86,0.014353952710771436
87,87,0.013346747879051556
88,88,0.013927363943723415
89,89,0.013403263403263402
90,90,0.013446411533976466
91,91,0.014221802841918294
92,92,0.014250363901018921
93,93,0.014614671456715727
94,94,0.014426027550677567
95,95,0.014426247406922152
96,96,0.01428147659854977
97,97,0.014856818181818181
98,98,0.014930657345811253
99,99,0.015296514259846083
100,100,0.015872885338345865
101,101,0.015925706147638264
102,102,0.016493506493506494
103,103,0.015399050418268145
104,104,0.015685743311886217
105,105,0.016485515643105447
106,106,0.01643608685918961
107,107,0.016042721867430082
108,108,0.015574603174603175
109,109,0.015039771568427495
110,110,0.01385349750178444
111,111,0.013502786112301756
112,112,0.01324450876894262
113,113,0.0126159961064244
114,114,0.012757867486449316
115,115,0.012267551404931598
116,116,0.01094114063808726
117,117,0.004850713661520537
118,118,0.0052405844824037874
119,119,0.004637586206896552
120,120,0.00806469298245614
121,121,0.008777289578470411
122,122,0.00871743486973948
123,123,0.007890643694663795
124,124,0.007918552036199095
125,125,0.007893669745438162
126,126,0.00785240510562399
127,127,0.007868960953011251
128,128,0.008025351336456325
129,129,0.008065762970221569
130,130,0.008077339688041595
131,131,0.007989284933304178
132,132,0.007938591611970186
133,133,0.007795181409124566
134,134,0.007836557897776495
135,135,0.007838390925568614
136,136,0.007708116066498988
137,137,0.00777891048104492
138,138,0.00810022201078338
139,139,0.008368380062305296
140,140,0.008561226495446505
141,141,0.008950859792619307
142,142,0.008885203252032521
143,143,0.008634315198223498
144,144,0.008560261421157175
145,145,0.008577263872305662
146,146,0.008674556946337836
147,147,0.008855233306763136
148,148,0.008732882965126894
149,149,0.008688930490971677
150,150,0.00861092665258074
151,151,0.008735611182167001
152,152,0.008563432835820894
153,153,0.008621752531924263
154,154,0.008530614813416399
155,155,0.008266842303349644
156,156,0.008079258749139173
157,157,0.008101948290650656
158,158,0.007913794137042143
159,159,0.007880021553014429
160,160,0.007860479409956976
161,161,0.007837076894200087
162,162,0.007936446425111411
163,163,0.00831823975313611
164,164,0.008139284583729029
165,165,0.008057384175878772
166,166,0.00785836804704729
167,167,0.00791732045866023
168,168,0.007770760233918129
169,169,0.007828762306610408
170,170,0.00797392053143068
171,171,0.008418535513475087
172,172,0.0082561689137624
173,173,0.008212840151939722
174,174,0.00815868263473054
175,175,0.008354255586241527
176,176,0.008261946026244119
177,177,0.008278688524590164
178,178,0.008221924319054292
179,179,0.00852132819301082
180,180,0.008627028397565923
181,181,0.008762430230320138
182,182,0.008858625993335043
183,183,0.008900631524681015
184,184,0.008869082219208162
185,185,0.00879399585921325
186,186,0.008748949919224557
187,187,0.008623235332210854
188,188,0.008398541761604062
189,189,0.008278677815521296
190,190,0.008089771031977689
191,191,0.007998832381940841
192,192,0.0076003924133420525
193,193,0.0075676756900920124
194,194,0.007314077473343231
195,195,0.007344644317252658
196,196,0.007543978349120432
197,197,0.007561024949426837
198,198,0.007456937474569374
199,199,0.007587357809413527
200,200,0.007799402238131647
201,201,0.007911971830985916
202,202,0.0076255415867604245
203,203,0.007697806086341117
204,204,0.007673827020915772
205,205,0.007794406970207982
206,206,0.007875133025895709
207,207,0.008077936881099949
208,208,0.008093738819320215
209,209,0.008104655359076144
210,210,0.00819683056872038
211,211,0.00848558238098842
212,212,0.008710379117464263
213,213,0.00875983157225709
214,214,0.008899052327976928
215,215,0.008878315789473684
216,216,0.008740118577075098
217,217,0.008967812605325243
218,218,0.009123121584699453
219,219,0.009055822987923318
220,220,0.009722173377879374
221,221,0.009863843991567112
222,222,0.00956380857427717
223,223,0.009429004951285737
224,224,0.009404104183109708
225,225,0.009475296203755944
226,226,0.00959222031543679
227,227,0.009543621996452185
228,228,0.009728091858703453
229,229,0.009902959339161119
230,230,0.010043966780654617
231,231,0.01003761242845462
232,232,0.009616543189774486
233,233,0.009360371914075023
234,234,0.009393135600032153
235,235,0.00929946050406635
236,236,0.009045697881914812
237,237,0.008540194838997546
238,238,0.008132064673057663
239,239,0.00826244737988097
240,240,0.008353578223327968
241,241,0.008340191036002939
242,242,0.008342190729258932
243,243,0.008303531845721884
244,244,0.008126271432723048
245,245,0.00801945746342849
246,246,0.008020304568527918
