,ds,V1
0,0,1.7189692302528188
1,1,0.6912849188191151
2,2,-0.4768678653892631
3,3,0.427787613502961
4,4,-0.3482684910380113
5,5,-0.013132574158430582
6,6,0.6843070098632988
7,7,-0.2170003157196821
8,8,-0.8935358453558732
9,9,-0.30785905932359203
10,10,0.5718991002589008
11,11,2.081776659222554
12,12,0.845802420467063
13,13,-0.15819009783209836
14,14,-1.33961006674449
15,15,0.235564325041372
16,16,0.18211830490833927
17,17,-1.8082767744682737
18,18,-0.6143074698986994
19,19,-1.0394605725440622
20,20,0.3922169073157914
21,21,-0.48368795119747243
22,22,0.41034849291149317
23,23,1.1329063800506785
24,24,-2.1925887672335005
25,25,0.15405515363026492
26,26,0.6186912934745437
27,27,1.255951299868019
28,28,1.2711024413785896
29,29,-0.3718343096721955
30,30,2.850213570621843
31,31,0.009385125414850926
32,32,-1.8142298326025827
33,33,1.312770669575763
34,34,-2.064286999266227
35,35,1.5284873091400364
36,36,-0.9288447148232378
37,37,0.9611448717994958
38,38,0.520498421427346
39,39,0.06288606094126525
40,40,0.32633890238629726
41,41,-0.8510499611251091
42,42,0.3917198339481151
43,43,0.8559057809450352
44,44,0.748474534488342
45,45,-0.3817400167924853
46,46,0.2814161476625283
47,47,0.6991042877758942
48,48,0.1367421719269108
49,49,0.5980271042709656
50,50,0.27474739179930735
51,51,0.835418375848433
52,52,0.5127547609823356
53,53,-0.3728453447676324
54,54,1.1116761361211438
55,55,-0.0003699849010769807
56,56,1.3982120452653102
57,57,0.030615182787445017
58,58,0.7510131959217354
59,59,-0.7016851776064218
60,60,0.8231828794797813
61,61,1.7429760553385676
62,62,0.3310801416381489
63,63,-0.2856060047039798
64,64,1.0700528582545987
65,65,0.7207324545053654
66,66,-1.2657162113873528
67,67,0.7623975562577644
68,68,2.1341597854338525
69,69,1.4330464781202243
70,70,1.343983432118304
71,71,-0.4165056842167547
72,72,0.9690001385223914
73,73,0.7891612341034794
74,74,0.26935141347686686
75,75,-0.3238214626730014
76,76,1.2070086852448183
77,77,-0.38810267918625097
78,78,-1.7008657071909716
79,79,-1.1343578387346152
80,80,-0.7837269921480348
81,81,0.012617317199292932
82,82,1.9990635054558241
83,83,0.3219604353758416
84,84,0.5546496112767854
85,85,0.31244793001946947
86,86,-0.012693374549116676
87,87,2.1088936199860138
88,88,1.3459519210250435
89,89,1.621320532083009
90,90,1.2674900524361354
91,91,-0.8987623408404025
92,92,-0.84520870514203
93,93,0.21754794947104217
94,94,1.1520331407625606
95,95,1.4868187418095125
96,96,0.44436208310357206
97,97,-0.3234801865547481
98,98,1.6216688079656325
99,99,0.86158768870315
100,100,2.535656009224295
101,101,1.1377767265373568
102,102,0.677217336027705
103,103,0.3264560044644581
104,104,0.4575571372912638
105,105,1.6013913283835208
106,106,0.9226557776109324
107,107,0.3544057954488449
108,108,3.8145567489376493
109,109,2.718014128798493
110,110,0.5203919071846919
111,111,2.912771162959963
112,112,2.141241942290655
113,113,2.233472167751831
114,114,2.1166958076757036
115,115,1.713300718009541
116,116,0.29215700412600576
117,117,-0.38689747415949904
118,118,0.02130500133559532
119,119,0.7366233360515846
120,120,1.3071816999196881
121,121,0.1257104121998205
122,122,1.9349782962167086
123,123,0.8919089982438935
124,124,1.0204542055532773
125,125,0.6068680627250168
126,126,0.468980674805743
127,127,2.61509164150222
128,128,2.075279866068402
129,129,0.7236492928724291
130,130,0.4048265444784822
131,131,0.5332040894748931
132,132,1.935813819009832
133,133,0.18966006901723054
134,134,2.851313937790344
135,135,1.3370472409959218
136,136,0.9930314415590176
137,137,0.28377226337930295
138,138,0.8025679248641747
139,139,2.0015522633023806
140,140,0.9917567572535244
141,141,-0.7198694885530414
142,142,0.7263489885925108
143,143,1.9129693447926148
144,144,3.593432922864437
145,145,1.7488972665937694
146,146,4.221149421605951
147,147,4.287703717005948
148,148,4.309503169716013
149,149,2.9851640120283855
150,150,4.745463565162433
151,151,2.3842776969118926
152,152,2.1651004863510406
153,153,3.406090509734719
154,154,3.1492156728343152
155,155,4.133494275013077
156,156,4.082185087361699
157,157,2.726194232347729
158,158,2.436742433993384
159,159,3.070722338121315
160,160,4.462234133884744
161,161,2.4899729292765858
162,162,3.4928297245015383
163,163,4.301478474296305
164,164,4.504373763303542
165,165,2.6335057569782463
166,166,4.547601809644605
167,167,4.785320539830315
