,Date,V1
0,0,3762.0
1,1,3301.0
2,2,3454.0
3,3,4222.0
4,4,5604.0
5,5,6218.0
6,6,7216.0
7,7,7370.0
8,8,8828.0
9,9,8521.0
10,10,10056.0
11,11,9365.0
12,12,10901.0
13,13,11285.0
14,14,9749.0
15,15,9135.0
16,16,10210.0
17,17,10210.0
18,18,11975.0
19,19,11745.0
20,20,13511.0
21,21,10901.0
22,22,12283.0
23,23,10670.0
24,24,10670.0
25,25,9058.0
26,26,8905.0
27,27,9519.0
28,28,8521.0
29,29,8291.0
30,30,6909.0
31,31,5911.0
32,32,4606.0
33,33,3762.0
34,34,2994.0
35,35,2610.0
36,36,2610.0
37,37,2687.0
38,38,3531.0
39,39,4069.0
40,40,4529.0
41,41,5297.0
42,42,6218.0
43,43,6218.0
44,44,6986.0
45,45,6986.0
46,46,8598.0
47,47,8598.0
48,48,10133.0
49,49,9826.0
50,50,8982.0
51,51,11208.0
52,52,13279.0
53,53,11053.0
54,54,10311.0
55,55,11721.0
56,56,13872.0
57,57,18472.0
58,58,19584.0
59,59,20104.0
60,60,18694.0
61,61,17359.0
62,62,16320.0
63,63,15356.0
64,64,15875.0
65,65,14762.0
66,66,13130.0
67,67,13575.0
68,68,11498.0
69,69,9273.0
70,70,8383.0
71,71,8531.0
72,72,9644.0
73,73,9792.0
74,74,9273.0
75,75,9199.0
76,76,6899.0
77,77,6973.0
78,78,5564.0
79,79,5415.0
80,80,5044.0
81,81,4303.0
82,82,3709.0
83,83,3264.0
84,84,2151.0
85,85,1780.0
86,86,1187.0
87,87,890.0
88,88,668.0
89,89,668.0
90,90,816.0
91,91,964.0
92,92,964.0
93,93,1039.0
94,94,1039.0
95,95,1113.0
96,96,1039.0
97,97,1335.0
98,98,1484.0
99,99,1706.0
100,100,1632.0
101,101,1780.0
102,102,1706.0
103,103,2003.0
104,104,2993.0
105,105,2993.0
106,106,2993.0
107,107,3265.0
108,108,4535.0
109,109,5442.0
110,110,5804.0
111,111,6439.0
112,112,5986.0
113,113,7074.0
114,114,1723.0
115,115,7346.0
116,116,8072.0
117,117,7074.0
118,118,10158.0
119,119,8797.0
120,120,8162.0
121,121,8072.0
122,122,9341.0
123,123,11337.0
124,124,12062.0
125,125,12969.0
126,126,13785.0
127,127,11337.0
128,128,11699.0
129,129,11427.0
130,130,11518.0
131,131,11971.0
132,132,11246.0
133,133,10611.0
134,134,10248.0
135,135,8253.0
136,136,7074.0
137,137,5532.0
138,138,4353.0
139,139,3265.0
140,140,3174.0
141,141,3446.0
142,142,3809.0
143,143,4988.0
144,144,6439.0
145,145,7527.0
146,146,8525.0
147,147,10067.0
148,148,11337.0
149,149,13060.0
150,150,14601.0
151,151,15780.0
152,152,18864.0
153,153,18320.0
154,154,18501.0
155,155,22401.0
156,156,21682.0
157,157,18720.0
158,158,15995.0
159,159,15995.0
160,160,16350.0
161,161,21682.0
162,162,24644.0
163,163,27843.0
164,164,29264.0
165,165,29146.0
