,Date,V1
0,0,12.200946470791967
1,1,12.666373289618205
2,2,11.886025868582866
3,3,13.05934596621251
4,4,12.435694709534577
5,5,12.304249310373114
6,6,11.501539590979405
7,7,10.98732718250181
8,8,11.019879294536617
9,9,11.14564601367137
10,10,11.085640756531888
11,11,10.915849549980273
12,12,9.98864525698676
13,13,11.151361885076948
14,14,10.462765398594877
15,15,10.625042435763232
16,16,10.274725870281905
17,17,11.287425983637595
18,18,11.486551469646948
19,19,12.441556489713482
20,20,13.434771027624665
21,21,12.623781659803226
22,22,13.309610382157608
23,23,13.43365023287881
24,24,13.14810053812916
25,25,13.109623498305893
26,26,13.107580806506004
27,27,12.625481640529921
28,28,11.970100983153948
29,29,12.159097346935285
30,30,10.955196047693875
31,31,11.526890451721835
32,32,11.565298119224606
33,33,11.102934052022674
34,34,11.94030988365107
35,35,10.912188138469038
36,36,11.780298585277643
37,37,13.859913176205016
38,38,11.938689346831591
39,39,12.668827838577528
40,40,13.656188977836377
41,41,14.404195605676293
42,42,13.328276034046414
43,43,14.488284042857709
44,44,13.603953817531732
45,45,14.406704014783902
46,46,13.301135062695499
47,47,12.370699739576438
48,48,12.108048463487147
49,49,11.662439513100205
50,50,11.793630448638822
51,51,11.86164981534748
52,52,11.393888755139749
53,53,11.121534401676659
54,54,10.008332283147421
55,55,11.247347448001019
56,56,12.436652280053027
57,57,11.473773066810578
58,58,13.000003756569743
59,59,11.806575113641063
60,60,13.280052112584734
61,61,13.85309079673442
62,62,13.734481712978338
63,63,14.217499197959429
64,64,13.71286504063182
65,65,13.293887600083396
66,66,12.775364140017958
67,67,12.161994607879969
68,68,12.09880025669653
69,69,11.485920536871294
70,70,10.83797196825387
71,71,10.27718047205781
72,72,10.891503246141674
73,73,11.10105821825592
74,74,11.0628909293453
75,75,10.401873413854792
76,76,11.419795177615347
77,77,10.831288695891068
78,78,11.584834912244347
79,79,13.130166399246312
80,80,13.099259766120538
81,81,12.345791258835696
82,82,12.4547936325786
83,83,14.044745568115024
84,84,12.793403247161088
85,85,13.134419445898825
86,86,12.55609164829842
87,87,11.847912797766881
88,88,11.609101842924517
89,89,10.888789780449365
90,90,11.04236463802132
91,91,10.306154930695385
92,92,10.339381773144982
93,93,9.373611284505563
94,94,10.238458172304513
95,95,10.853914444675624
96,96,12.52274260949758
97,97,10.853034890393259
98,98,12.28156931119213
99,99,11.519537211363625
100,100,13.637784929028845
101,101,12.975684565564617
102,102,13.451099522282414
103,103,12.575901240430222
104,104,13.339984065358024
105,105,12.891493573432122
106,106,12.89864357751032
107,107,11.971609399183876
108,108,12.054118577364113
109,109,10.496936444101014
110,110,10.10820732761619
111,111,11.091277485628712
112,112,9.885343329691393
113,113,9.63522642947593
114,114,10.615926911939182
115,115,10.635608579559436
116,116,11.353848838846076
